unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
9652075,HX302422,2001-01-01 00:00:00 UTC,033XX W WALNUT ST,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,1123,11,28,27,02,,,2001,2015-08-17 15:03:40 UTC,,,
9755056,HX403531,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
9959537,HY141743,2001-01-01 00:00:00 UTC,034XX N NOTTINGHAM AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,true,1632,16,36,17,20,,,2001,2015-08-31 15:43:09 UTC,,,
8197725,HT431595,2001-01-01 00:00:00 UTC,009XX N HOMAN AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,1121,11,27,23,02,1153583.0,1905844.0,2001,2011-09-20 00:43:48 UTC,41.8974761,-87.711355397,"(41.8974761, -87.711355397)"
2893567,HJ560176,2001-01-01 00:00:00 UTC,087XX S ELIZABETH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2222,22,21,71,06,1169564.0,1846653.0,2001,2006-03-31 22:03:38 UTC,41.734716977,-87.654377051,"(41.734716977, -87.654377051)"
9747360,HX397217,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
1559213,G318460,2001-01-01 00:00:00 UTC,052XX S BISHOP ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,933,9,,,26,1167598.0,1869900.0,2001,2015-08-17 15:03:40 UTC,41.798552125,-87.660913825,"(41.798552125, -87.660913825)"
1818198,G650095,2001-01-01 00:00:00 UTC,043XX N KENMORE AV,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,2322,19,,,06,1168431.0,1928861.0,2001,2015-08-17 15:03:40 UTC,41.960327584,-87.65615298,"(41.960327584, -87.65615298)"
11109587,JA459429,2001-01-01 00:00:00 UTC,075XX N SEELEY AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,false,false,2424,24,49,1,11,,,2001,2017-10-07 15:48:11 UTC,,,
9754975,HX403528,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
8339048,HT572662,2001-01-01 00:00:00 UTC,049XX W QUINCY ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1533,15,28,25,06,,,2001,2015-08-17 15:03:40 UTC,,,
9755198,HX403551,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
11513580,JB524424,2001-01-01 00:00:00 UTC,030XX W WARREN BLVD,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,1222,12,27,27,02,,,2001,2020-03-21 15:44:56 UTC,,,
9755248,HX403559,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
9755066,HX403532,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
6884455,HR291448,2001-01-01 00:00:00 UTC,045XX W JACKSON BLVD,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,true,1113,11,28,26,02,1146219.0,1898343.0,2001,2009-05-19 01:03:45 UTC,41.877035811,-87.738593651,"(41.877035811, -87.738593651)"
5785840,HN435358,2001-01-01 00:00:00 UTC,079XX S MANISTEE AVE,0266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,false,false,422,4,7,46,02,1195849.0,1852812.0,2001,2007-10-26 01:04:16 UTC,41.751008408,-87.557878302,"(41.751008408, -87.557878302)"
4803028,HM414773,2001-01-01 00:00:00 UTC,055XX S TRIPP AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,true,false,813,8,13,62,02,1149024.0,1867199.0,2001,2006-10-03 05:10:58 UTC,41.791518681,-87.729098793,"(41.791518681, -87.729098793)"
5233406,HN115018,2001-01-01 00:00:00 UTC,009XX W ADAMS ST,0810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,true,false,1213,12,2,28,06,1169996.0,1899330.0,2001,2014-12-04 12:43:35 UTC,41.879258911,-87.651262835,"(41.879258911, -87.651262835)"
1310933,G001704,2001-01-01 00:00:00 UTC,0000X W WACKER DR,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,122,1,,,06,1176294.0,1902094.0,2001,2015-08-17 15:03:40 UTC,41.886703808,-87.628054456,"(41.886703808, -87.628054456)"
9755231,HX403556,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
1353509,G057402,2001-01-01 00:00:00 UTC,034XX W ADAMS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1123,11,,,11,1153613.0,1898824.0,2001,2015-08-17 15:03:40 UTC,41.87821192,-87.711432075,"(41.87821192, -87.711432075)"
2892192,HJ564020,2001-01-01 00:00:00 UTC,033XX W 64TH ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,823,8,15,66,06,1155377.0,1862028.0,2001,2006-03-31 22:03:38 UTC,41.777203808,-87.705941698,"(41.777203808, -87.705941698)"
2980108,HJ677840,2001-01-01 00:00:00 UTC,045XX N MC VICKER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1622,16,38,15,06,1135231.0,1929683.0,2001,2006-03-31 22:03:38 UTC,41.96323831,-87.778194071,"(41.96323831, -87.778194071)"
1312153,G001591,2001-01-01 00:00:00 UTC,003XX N LOREL AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1523,15,,,14,1140613.0,1901619.0,2001,2015-08-17 15:03:40 UTC,41.886130325,-87.75909702,"(41.886130325, -87.75909702)"
1520951,G268785,2001-01-01 00:00:00 UTC,080XX S CHAMPLAIN AV,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,631,6,,,06,1182001.0,1851822.0,2001,2015-08-17 15:03:40 UTC,41.748623027,-87.608654109,"(41.748623027, -87.608654109)"
1541842,G295358,2001-01-01 00:00:00 UTC,100XX W OHARE FIELD,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,AIRPORT/AIRCRAFT,true,false,1651,16,,76,12,,,2001,2019-01-23 16:13:37 UTC,,,
6739668,HR150281,2001-01-01 00:00:00 UTC,007XX N MICHIGAN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1833,18,42,8,06,1177338.0,1905731.0,2001,2009-02-16 01:03:33 UTC,41.896660307,-87.624110268,"(41.896660307, -87.624110268)"
